"num_conta","cod_cliente","cod_agencia","cod_colaborador","tipo_conta","data_abertura","saldo_total","saldo_disponivel","data_ultimo_lancamento"
"176","176","1","30","PF","2019-04-20 14:06:00+00:00","14244.93","12934.41","2020-12-19 13:15:50+00:00"
"199","199","1","30","PF","2019-01-10 12:24:00+00:00","92338.31","94200.58","2022-12-29 23:37:56+00:00"
"207","207","1","30","PF","2022-06-24 16:07:00+00:00","13029.24","52.13","2022-12-30 00:00:00.621813+00:00"
"275","275","1","30","PF","2020-05-02 12:18:00+00:00","51431.95","52418.24","2022-12-30 00:00:00.087069+00:00"
"361","361","1","30","PF","2018-01-08 14:30:00+00:00","16828.83","17483.74","2022-09-28 23:25:00+00:00"
"701","701","1","30","PF","2013-02-24 10:46:00+00:00","53.5","37.57","2020-03-30 08:05:11+00:00"
"808","808","1","30","PF","2013-08-08 14:43:00+00:00","33978.83","32308.15","2022-04-21 18:11:48+00:00"
"910","910","1","30","PF","2011-11-03 16:42:00+00:00","38140.18","38894.44","2018-11-01 23:32:33+00:00"
"290","290","1","31","PF","2016-02-19 12:30:00+00:00","10809.29","8075.48","2022-12-29 23:59:59.668206+00:00"
"451","451","1","31","PF","2011-08-25 11:33:00+00:00","14880.73","15408.8","2013-08-31 23:35:07+00:00"
"557","557","1","31","PF","2017-12-09 12:29:00+00:00","2841.34","2543.82","2022-12-29 23:56:57+00:00"
"617","617","1","31","PF","2016-02-17 11:37:00+00:00","28163.42","28107.84","2017-10-26 19:24:41+00:00"
"632","632","1","31","PF","2017-07-25 16:41:00+00:00","15022.8","14852.3","2022-12-29 23:59:59.732522+00:00"
"740","740","1","31","PF","2019-11-12 12:14:00+00:00","788.6","697.98","2022-12-29 23:50:54+00:00"
"134","134","1","34","PF","2013-06-11 11:41:00+00:00","19285.3","19263.65","2017-06-15 07:46:25+00:00"
"410","410","1","34","PF","2019-04-22 13:24:00+00:00","2612.79","2608.29","2022-12-30 00:00:00.675814+00:00"
"429","429","1","34","PF","2015-05-28 15:38:00+00:00","7184.02","5418.26","2022-12-30 00:00:00.433124+00:00"
"496","496","1","34","PF","2020-02-27 12:50:00+00:00","18.42","78.95","2022-12-30 00:00:00.869078+00:00"
"631","631","1","34","PF","2010-12-10 15:06:00+00:00","21223.45","22164.99","2014-05-25 15:37:54+00:00"
"878","878","1","34","PF","2012-05-16 14:13:00+00:00","32869.2","34449.17","2021-05-13 20:48:23+00:00"
"6","6","1","42","PF","2010-03-09 12:09:00+00:00","14236.27","13407.48","2016-10-02 22:42:28+00:00"
"620","620","1","42","PF","2010-06-21 16:42:00+00:00","29814.95","28876.55","2014-01-29 19:49:43+00:00"
"714","714","1","42","PF","2015-06-18 11:20:00+00:00","48216.74","43787.36","2020-07-12 04:06:16+00:00"
"877","877","1","42","PF","2013-02-11 11:31:00+00:00","125716.28","126887.95","2019-05-21 20:49:47+00:00"
"286","286","1","58","PF","2021-07-12 12:27:00+00:00","3985.9","2427.58","2022-12-29 23:52:25+00:00"
"559","559","1","58","PF","2011-02-05 14:40:00+00:00","31372.24","29533.51","2022-12-30 00:00:00.049372+00:00"
"911","911","1","58","PF","2011-09-22 12:17:00+00:00","3545.66","3563.2","2022-12-29 23:59:59.851741+00:00"
"40","40","1","62","PF","2015-04-14 14:50:00+00:00","461.35","164.31","2022-12-29 23:59:59.352027+00:00"
"90","90","1","62","PF","2014-05-15 13:06:00+00:00","109727.88","99717.27","2015-12-25 21:14:30+00:00"
"93","93","1","62","PF","2021-10-27 11:09:00+00:00","354.41","270.18","2022-12-29 23:59:59.036565+00:00"
"147","147","1","62","PF","2014-08-14 14:32:00+00:00","42405.95","41516.75","2015-11-13 17:37:41+00:00"
"486","486","1","62","PF","2015-04-23 13:18:00+00:00","197.36","155.72","2022-12-29 22:47:31+00:00"
"501","501","1","62","PF","2018-06-20 14:51:00+00:00","232815.79","211636.04","2022-12-30 00:00:00.468941+00:00"
"670","670","1","62","PF","2022-10-25 14:11:00+00:00","42711.76","41331.12","2022-12-30 00:00:00.718266+00:00"
"735","735","1","62","PF","2012-12-03 13:05:00+00:00","72474.23","67091.37","2021-04-25 23:19:48+00:00"
"805","805","1","62","PF","2011-05-08 14:35:00+00:00","4438.54","4510.78","2022-12-30 00:00:00.828982+00:00"
"19","19","1","67","PF","2019-10-05 13:24:00+00:00","2615.32","2364.85","2022-12-29 23:59:59.115282+00:00"
"106","106","1","67","PF","2010-08-14 15:55:00+00:00","68269.51","71851.76","2020-09-28 20:33:20+00:00"
"146","146","1","67","PF","2010-06-27 10:33:00+00:00","10975.19","11304.7","2014-03-23 07:15:00+00:00"
"154","154","1","67","PF","2013-10-14 11:46:00+00:00","81928.25","78745.64","2018-05-10 18:30:26+00:00"
"198","198","1","67","PF","2016-09-09 11:33:00+00:00","7893.02","7802.34","2022-12-29 22:42:22+00:00"
"200","200","1","67","PF","2015-05-17 10:24:00+00:00","3503.06","2941.5","2022-12-26 07:35:44+00:00"
"260","260","1","67","PF","2013-10-22 14:33:00+00:00","23435.39","22294.71","2022-06-06 17:43:44+00:00"
"347","347","1","67","PF","2011-02-03 16:40:00+00:00","83141.24","87482.3","2015-05-01 04:58:44+00:00"
"357","357","1","67","PF","2021-07-12 15:17:00+00:00","71.39","21.4","2022-12-30 00:00:00.925889+00:00"
"497","497","1","67","PF","2021-10-25 16:18:00+00:00","44788.25","45546.6","2022-12-29 23:59:59.201726+00:00"
"598","598","1","67","PF","2015-02-09 13:15:00+00:00","6940.73","6722.36","2022-12-30 00:00:00.545758+00:00"
"715","715","1","67","PF","2018-12-20 16:17:00+00:00","27057.15","23267.77","2022-12-30 00:00:00.415793+00:00"
"925","925","1","67","PF","2014-07-10 14:52:00+00:00","7854.3","7813.65","2022-12-29 22:10:15+00:00"
"68","68","1","72","PF","2019-08-11 11:02:00+00:00","66.69","54.72","2022-12-29 23:59:59.607906+00:00"
"195","195","1","72","PF","2011-03-08 13:26:00+00:00","28846.58","27711.57","2015-04-03 11:22:27+00:00"
"280","280","1","72","PF","2017-04-20 14:07:00+00:00","14666.52","13614.04","2022-09-20 20:09:54+00:00"
"284","284","1","72","PF","2020-02-18 13:51:00+00:00","42994.12","43554.03","2022-12-29 22:10:49+00:00"
"604","604","1","72","PF","2022-03-20 16:32:00+00:00","66821.99","68837.85","2022-12-29 23:59:59.290722+00:00"
"697","697","1","72","PF","2013-01-24 12:46:00+00:00","1323.4","1185.81","2016-09-14 12:33:25+00:00"
"831","831","1","72","PF","2016-01-22 11:28:00+00:00","32572.58","31390.16","2022-12-29 23:57:40+00:00"
"141","141","1","77","PF","2012-05-10 13:49:00+00:00","8239.8","8311.67","2015-02-25 00:30:47+00:00"
"208","208","1","77","PF","2013-05-12 13:48:00+00:00","99593.47","101572.38","2016-07-29 15:49:35+00:00"
"382","382","1","77","PF","2010-02-02 14:28:00+00:00","6992.42","6935.26","2017-02-22 12:18:12+00:00"
"431","431","1","77","PF","2013-11-20 11:12:00+00:00","31323.33","31597.66","2019-04-02 12:38:44+00:00"
"574","574","1","77","PF","2014-03-05 16:10:00+00:00","11612.55","10535.63","2022-07-03 23:00:19+00:00"
"684","684","1","77","PF","2020-03-14 11:55:00+00:00","14568.5","14689.17","2022-12-30 00:00:00.317437+00:00"
"717","717","1","77","PF","2015-02-21 12:48:00+00:00","30082.0","29273.68","2020-02-21 02:00:45+00:00"
"892","892","1","77","PF","2015-08-05 12:19:00+00:00","8397.36","7660.12","2019-05-25 15:09:19+00:00"
"145","145","1","79","PF","2011-03-03 13:41:00+00:00","69766.79","65137.83","2020-10-03 14:06:51+00:00"
"152","152","1","79","PF","2017-07-01 14:56:00+00:00","68.44","16.22","2022-12-29 23:59:59.386084+00:00"
"258","258","1","79","PF","2011-08-21 14:49:00+00:00","14823.21","14252.92","2022-05-06 12:23:37+00:00"
"293","293","1","79","PF","2018-10-14 12:48:00+00:00","34326.8","33578.19","2022-10-29 02:01:59+00:00"
"473","473","1","79","PF","2016-01-02 10:15:00+00:00","50851.23","49224.08","2020-10-04 09:33:03+00:00"
"567","567","1","79","PF","2011-05-16 10:17:00+00:00","31479.6","29103.95","2015-09-15 11:33:09+00:00"
"758","758","1","79","PF","2014-12-25 13:17:00+00:00","62228.87","56551.49","2019-09-19 03:25:22+00:00"
"875","875","1","79","PF","2015-01-18 15:07:00+00:00","33365.15","30866.63","2022-12-29 23:55:10+00:00"
"989","989","1","79","PF","2021-11-25 14:47:00+00:00","754.61","577.4","2022-12-29 23:59:55+00:00"
"119","119","1","83","PF","2020-01-14 10:20:00+00:00","27043.28","26165.99","2022-10-26 06:36:27+00:00"
"186","186","1","83","PF","2022-02-21 15:05:00+00:00","164.71","134.2","2022-12-30 00:00:00.567320+00:00"
"231","231","1","83","PF","2012-06-25 11:43:00+00:00","52989.0","49969.3","2017-02-09 11:55:11+00:00"
"232","232","1","83","PF","2013-11-27 16:57:00+00:00","117243.3","110336.89","2020-07-24 08:10:00+00:00"
"243","243","1","83","PF","2017-04-01 14:23:00+00:00","15640.93","16447.33","2022-10-24 13:33:00+00:00"
"331","331","1","83","PF","2012-09-22 16:29:00+00:00","15569.42","15030.97","2022-12-29 23:59:59.268198+00:00"
"602","602","1","83","PF","2018-10-24 13:07:00+00:00","10115.97","9667.71","2021-02-19 04:34:16+00:00"
"671","671","1","83","PF","2021-08-09 16:15:00+00:00","8075.95","7551.61","2022-12-30 00:00:00.918448+00:00"
"804","804","1","83","PF","2011-12-06 13:00:00+00:00","58103.96","56919.71","2016-11-04 11:52:28+00:00"
"927","927","1","83","PF","2011-08-15 14:48:00+00:00","34239.26","33034.49","2013-02-06 13:38:57+00:00"
"938","938","1","83","PF","2016-12-12 12:27:00+00:00","167.21","116.36","2022-12-29 23:59:59.245727+00:00"
"42","42","2","12","PF","2013-04-12 12:10:00+00:00","27615.72","27609.02","2022-01-19 04:26:03+00:00"
"185","185","2","12","PF","2011-03-23 14:06:00+00:00","403.05","393.62","2021-03-04 19:53:30+00:00"
"415","415","2","12","PF","2015-06-09 14:03:00+00:00","66837.71","64200.64","2022-12-30 00:00:00.397829+00:00"
"504","504","2","12","PF","2015-04-22 14:18:00+00:00","45917.36","46241.17","2022-12-29 22:39:57+00:00"
"548","548","2","12","PF","2021-05-24 12:19:00+00:00","51462.0","47060.44","2022-12-29 23:59:59.281558+00:00"
"23","23","2","15","PF","2012-12-06 10:38:00+00:00","19605.44","19299.27","2022-12-29 23:58:10+00:00"
"55","55","2","15","PF","2016-11-10 14:25:00+00:00","353.76","322.26","2022-12-30 00:00:00.379315+00:00"
"85","85","2","15","PF","2010-10-04 13:19:00+00:00","55114.87","10769.58","2022-12-11 09:49:24+00:00"
"138","138","2","15","PF","2018-04-06 10:08:00+00:00","230.13","116.05","2022-12-29 23:59:59.356948+00:00"
"188","188","2","15","PF","2022-11-12 14:02:00+00:00","10111.06","9159.69","2022-12-30 00:00:00.476412+00:00"
"432","432","2","15","PF","2011-04-27 12:38:00+00:00","122319.38","115048.84","2022-12-29 23:59:59.493240+00:00"
"455","455","2","15","PF","2017-08-24 10:26:00+00:00","1440.95","1268.5","2020-11-08 17:27:02+00:00"
"517","517","2","15","PF","2020-12-11 15:57:00+00:00","62271.82","64049.89","2022-12-29 23:59:59.977786+00:00"
"545","545","2","15","PF","2019-12-16 10:22:00+00:00","20510.22","20524.46","2022-12-29 23:59:59.943290+00:00"
"621","621","2","15","PF","2015-03-11 11:29:00+00:00","52509.98","52048.08","2022-10-12 01:15:42+00:00"
"762","762","2","15","PF","2022-09-15 14:36:00+00:00","28104.6","27974.6","2022-12-29 23:59:59.911482+00:00"
"168","168","2","22","PF","2012-12-20 16:11:00+00:00","35959.3","37827.96","2022-07-06 14:23:09+00:00"
"456","456","2","22","PF","2014-02-12 15:54:00+00:00","25.76","12.04","2022-04-04 19:19:19+00:00"
"505","505","2","22","PF","2013-07-27 13:47:00+00:00","209128.93","191520.6","2022-10-19 20:01:15+00:00"
"566","566","2","22","PF","2013-11-11 12:53:00+00:00","5737.69","5160.79","2018-03-26 15:13:17+00:00"
"666","666","2","22","PF","2015-07-27 15:03:00+00:00","47389.75","48308.97","2020-02-25 11:30:30+00:00"
"750","750","2","22","PF","2012-05-05 11:32:00+00:00","3848.69","3727.02","2022-12-25 16:58:54+00:00"
"768","768","2","22","PF","2019-04-22 14:34:00+00:00","44919.13","42951.12","2022-12-29 23:55:59+00:00"
"14","14","2","28","PF","2014-08-26 14:14:00+00:00","3923.41","3491.48","2022-12-30 00:00:00.698664+00:00"
"45","45","2","28","PF","2015-10-19 14:51:00+00:00","15400.83","13450.8","2021-06-10 00:38:31+00:00"
"221","221","2","28","PF","2016-08-16 13:42:00+00:00","2058.98","2677.19","2022-12-28 18:28:44+00:00"
"534","534","2","28","PF","2015-01-25 16:56:00+00:00","32217.0","33477.58","2022-12-29 22:53:27+00:00"
"799","799","2","28","PF","2021-05-24 11:29:00+00:00","128.33","7.34","2022-12-30 00:00:00.146195+00:00"
"841","841","2","28","PF","2020-04-16 16:11:00+00:00","35333.46","36788.9","2022-12-28 23:54:25+00:00"
"896","896","2","28","PF","2018-06-19 14:13:00+00:00","36968.31","39530.31","2022-12-29 23:59:59.122591+00:00"
"915","915","2","28","PF","2018-12-25 12:03:00+00:00","12410.46","12940.12","2022-10-01 08:38:58+00:00"
"945","945","2","28","PF","2016-05-10 13:56:00+00:00","48981.15","49096.21","2022-12-03 14:04:20+00:00"
"435","435","2","46","PF","2011-02-02 11:14:00+00:00","41480.04","40881.44","2019-06-30 20:38:23+00:00"
"616","616","2","46","PF","2017-08-04 10:47:00+00:00","16991.02","15969.62","2022-12-29 23:59:59.913155+00:00"
"661","661","2","46","PF","2013-09-11 13:40:00+00:00","19.33","5.35","2022-12-29 23:59:56+00:00"
"664","664","2","46","PF","2017-11-12 15:21:00+00:00","17796.98","17333.02","2022-12-30 00:00:00.689084+00:00"
"667","667","2","46","PF","2022-03-06 15:06:00+00:00","987.98","760.39","2022-12-30 00:00:00.112756+00:00"
"766","766","2","46","PF","2014-09-07 13:15:00+00:00","271.74","334.31","2022-12-29 23:59:59.641000+00:00"
"821","821","2","46","PF","2012-03-12 12:31:00+00:00","38099.7","37024.01","2016-02-26 14:02:42+00:00"
"36","36","2","56","PF","2012-02-17 15:58:00+00:00","41929.75","40313.21","2022-12-29 23:59:54+00:00"
"46","46","2","56","PF","2011-06-04 11:10:00+00:00","47538.62","151644.4","2016-09-08 06:26:30+00:00"
"277","277","2","56","PF","2013-06-09 12:38:00+00:00","1408.38","1263.39","2017-10-07 06:48:39+00:00"
"375","375","2","56","PF","2019-06-22 15:56:00+00:00","13593.81","12657.9","2022-12-29 23:59:59.227118+00:00"
"495","495","2","56","PF","2015-07-02 11:07:00+00:00","29290.94","28153.49","2022-12-30 00:00:00.823395+00:00"
"539","539","2","56","PF","2011-04-21 10:58:00+00:00","17405.56","16455.88","2015-09-25 11:33:15+00:00"
"744","744","2","56","PF","2012-03-21 11:46:00+00:00","4711.03","5493.63","2021-10-01 18:38:52+00:00"
"774","774","2","56","PF","2018-07-11 14:52:00+00:00","206361.4","196440.97","2022-12-29 23:56:56+00:00"
"903","903","2","56","PF","2020-08-16 11:05:00+00:00","83936.28","84439.77","2022-03-13 19:41:29+00:00"
"930","930","2","56","PF","2018-04-03 11:06:00+00:00","16311.09","8241.09","2022-12-18 12:54:26+00:00"
"62","62","2","57","PF","2010-12-02 12:14:00+00:00","6662.32","6390.18","2020-06-28 21:08:18+00:00"
"73","73","2","57","PF","2012-06-21 14:25:00+00:00","2612.72","2439.85","2017-05-21 09:14:01+00:00"
"94","94","2","57","PF","2011-09-09 15:00:00+00:00","34545.96","33166.61","2022-12-30 00:00:00.138357+00:00"
"175","175","2","57","PF","2015-12-17 14:44:00+00:00","1931.37","1744.86","2018-05-18 21:30:15+00:00"
"333","333","2","57","PF","2019-12-03 13:34:00+00:00","398.66","263.32","2022-12-29 23:59:59.673776+00:00"
"677","677","2","57","PF","2018-01-15 11:14:00+00:00","39346.53","38525.41","2022-07-12 17:02:07+00:00"
"760","760","2","57","PF","2013-04-27 10:08:00+00:00","20116.4","20875.57","2015-06-05 12:29:59+00:00"
"801","801","2","57","PF","2019-09-27 15:29:00+00:00","34040.21","34583.48","2022-12-29 23:59:59.136427+00:00"
"905","905","2","57","PF","2013-03-04 12:38:00+00:00","18219.17","17267.95","2016-08-05 23:19:11+00:00"
"990","990","2","57","PF","2020-01-23 16:28:00+00:00","6317.25","6536.31","2021-09-25 07:50:51+00:00"
"26","26","2","63","PF","2012-08-12 16:34:00+00:00","10388.78","10032.94","2021-02-13 04:38:56+00:00"
"51","51","2","63","PF","2022-01-18 14:52:00+00:00","330.55","305.04","2022-12-29 23:59:59.330763+00:00"
"140","140","2","63","PF","2015-02-10 13:47:00+00:00","140807.68","117253.54","2022-12-29 23:59:59.367528+00:00"
"235","235","2","63","PF","2018-06-01 13:05:00+00:00","114315.51","109905.99","2021-09-09 05:16:59+00:00"
"383","383","2","63","PF","2017-01-24 13:00:00+00:00","38945.74","40234.88","2018-06-24 03:58:10+00:00"
"633","633","2","63","PF","2011-05-08 13:51:00+00:00","16.8","0.6","2018-08-30 03:58:32+00:00"
"4","4","2","65","PF","2017-04-06 12:28:00+00:00","184007.86","170283.25","2022-11-12 11:50:05+00:00"
"27","27","2","65","PF","2022-05-10 12:29:00+00:00","263.73","228.68","2022-12-30 00:00:00.767904+00:00"
"95","95","2","65","PF","2021-09-22 15:00:00+00:00","176.31","253.21","2022-12-29 23:59:59.772328+00:00"
"11","11","2","69","PF","2010-11-12 16:37:00+00:00","8749.81","8414.48","2022-12-29 23:59:56+00:00"
"177","177","2","69","PF","2022-10-15 16:31:00+00:00","12129.61","12439.49","2022-12-29 23:59:59.932063+00:00"
"244","244","2","69","PF","2012-04-20 13:36:00+00:00","22751.99","22071.15","2022-12-24 02:19:53+00:00"
"251","251","2","69","PF","2013-07-11 14:28:00+00:00","8907.74","8346.63","2021-09-05 04:36:19+00:00"
"468","468","2","69","PF","2021-08-27 13:19:00+00:00","10007.9","10124.27","2022-12-30 00:00:00.468061+00:00"
"533","533","2","69","PF","2021-08-09 12:39:00+00:00","26541.77","24783.65","2022-12-29 23:59:59.604072+00:00"
"759","759","2","69","PF","2022-01-02 14:41:00+00:00","937.58","1702.4","2022-12-29 23:59:59.099320+00:00"
"919","919","2","69","PF","2014-10-18 12:17:00+00:00","11549.64","11770.39","2018-09-03 14:38:01+00:00"
"972","972","2","69","PF","2010-08-10 15:41:00+00:00","18882.36","17130.82","2022-05-08 01:59:15+00:00"
"166","166","2","70","PF","2014-11-21 15:42:00+00:00","124745.7","122476.89","2021-01-20 11:41:39+00:00"
"222","222","2","70","PF","2014-05-11 10:03:00+00:00","10214.64","10068.5","2017-07-30 00:08:27+00:00"
"642","642","2","70","PF","2019-06-26 12:58:00+00:00","14609.9","14856.86","2022-12-29 23:59:59.449488+00:00"
"655","655","2","70","PF","2016-02-11 14:22:00+00:00","74550.79","70325.65","2020-05-15 16:28:49+00:00"
"699","699","2","70","PF","2011-03-22 14:49:00+00:00","24351.57","22299.44","2022-12-29 23:59:59.406374+00:00"
"700","700","2","70","PF","2017-12-06 16:13:00+00:00","24760.97","25235.92","2022-12-30 00:00:00.050689+00:00"
"510","510","2","81","PF","2012-03-16 13:03:00+00:00","23050.59","20939.23","2022-12-29 23:59:59.194889+00:00"
"640","640","2","81","PF","2020-06-11 14:58:00+00:00","151.11","61.3","2022-12-29 23:59:59.961749+00:00"
"668","668","2","81","PF","2015-03-03 12:16:00+00:00","2967.72","918.58","2022-12-30 00:00:00.758288+00:00"
"879","879","2","81","PF","2013-07-12 10:44:00+00:00","238990.88","231759.98","2019-09-11 05:47:27+00:00"
"891","891","2","81","PF","2012-02-20 13:42:00+00:00","5171.98","5112.55","2018-08-12 08:36:11+00:00"
"913","913","2","81","PF","2021-10-08 14:19:00+00:00","297.75","128.35","2022-12-30 00:00:00.414350+00:00"
"75","75","2","96","PF","2011-06-12 13:50:00+00:00","43845.3","44058.34","2022-10-08 06:10:17+00:00"
"201","201","2","96","PF","2021-11-12 16:43:00+00:00","20524.26","19820.47","2022-12-30 00:00:00.097381+00:00"
"323","323","2","96","PF","2015-06-14 16:51:00+00:00","3914.17","3800.27","2022-12-30 00:00:00.568614+00:00"
"372","372","2","96","PF","2013-11-27 13:03:00+00:00","25957.56","24630.6","2019-10-25 08:58:32+00:00"
"425","425","2","96","PF","2021-01-22 13:13:00+00:00","773.54","29312.93","2022-12-29 23:59:59.637724+00:00"
"547","547","2","96","PF","2013-04-04 15:11:00+00:00","24560.0","45922.63","2018-01-29 23:27:08+00:00"
"623","623","2","96","PF","2018-06-12 11:47:00+00:00","274.86","195.38","2021-11-04 05:58:29+00:00"
"659","659","2","96","PF","2011-09-22 14:33:00+00:00","43301.92","40067.48","2019-10-04 10:28:51+00:00"
"797","797","2","96","PF","2018-10-21 14:14:00+00:00","66.32","40.06","2022-12-30 00:00:00.986490+00:00"
"826","826","2","96","PF","2017-07-16 10:31:00+00:00","3343.12","3376.43","2019-08-18 17:54:24+00:00"
"890","890","2","96","PF","2013-12-11 14:23:00+00:00","91.91","34.61","2022-09-19 07:33:48+00:00"
"998","998","2","96","PF","2013-11-07 13:05:00+00:00","12110.95","47398.84","2016-07-24 12:03:50+00:00"
"135","135","3","4","PF","2016-07-03 12:30:00+00:00","7367.6","7665.52","2020-11-27 11:01:16+00:00"
"189","189","3","4","PF","2021-09-16 11:47:00+00:00","3657.94","2875.48","2022-12-29 23:47:10+00:00"
"656","656","3","4","PF","2019-02-20 12:24:00+00:00","30350.78","30770.78","2021-05-18 04:02:16+00:00"
"814","814","3","4","PF","2014-09-09 14:55:00+00:00","20261.34","19025.32","2018-09-10 03:08:32+00:00"
"876","876","3","4","PF","2019-04-17 11:01:00+00:00","5137.5","5069.37","2022-12-29 23:59:59.711504+00:00"
"895","895","3","4","PF","2022-08-15 11:35:00+00:00","3191.86","3020.27","2022-12-30 00:00:00.708347+00:00"
"963","963","3","4","PF","2022-06-13 15:07:00+00:00","6909.48","6250.55","2022-12-29 23:59:59.305111+00:00"
"70","70","3","27","PF","2021-02-18 15:23:00+00:00","108.51","28940.35","2022-12-30 00:00:00.135754+00:00"
"229","229","3","27","PF","2013-01-20 11:26:00+00:00","15665.47","15511.6","2016-11-13 19:53:00+00:00"
"368","368","3","27","PF","2016-03-03 13:31:00+00:00","12017.39","12075.63","2022-12-29 23:59:59.147739+00:00"
"376","376","3","27","PF","2012-04-07 15:08:00+00:00","11668.15","10745.11","2022-09-30 08:42:18+00:00"
"721","721","3","27","PF","2022-07-17 14:30:00+00:00","1729.32","1623.71","2022-12-29 23:59:59.060207+00:00"
"845","845","3","27","PF","2020-12-16 15:14:00+00:00","904.8","477.95","2022-12-30 00:00:00.802509+00:00"
"897","897","3","27","PF","2016-12-07 11:46:00+00:00","208.51","156.15","2022-12-29 23:59:59.625723+00:00"
"21","21","3","37","PF","2016-07-10 12:29:00+00:00","7250.57","6957.31","2022-11-24 19:30:54+00:00"
"129","129","3","37","PF","2013-01-08 15:31:00+00:00","40602.26","38336.69","2020-04-09 07:00:43+00:00"
"212","212","3","37","PF","2021-04-09 15:40:00+00:00","26933.38","26472.64","2022-12-29 23:59:59.489360+00:00"
"420","420","3","37","PF","2013-01-24 10:10:00+00:00","10852.62","11170.85","2017-05-22 20:51:50+00:00"
"608","608","3","37","PF","2014-09-20 11:49:00+00:00","28555.18","28544.94","2019-12-14 17:57:10+00:00"
"767","767","3","37","PF","2019-12-06 15:52:00+00:00","77102.73","74114.26","2022-12-18 14:40:10+00:00"
